run_id,source_dataset,sensor_id,rows,duration_seconds,temperature_min_c,temperature_max_c,temperature_mean_c,temperature_std_c,largest_gap_seconds,missing_interval_count
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_021_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,373,116700,18.2,21.3,19.280160857908847,0.6552186675262445,600.0,17
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_021_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,4,900,16.6,16.6,16.6,0.0,300.0,0
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_022_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,166,50700,19.4,20.7,20.27530120481927,0.29297739272706824,600.0,4
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_022_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,3,600,19.0,19.0,19.0,0.0,300.0,0
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_022_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,55,18300,18.5,19.0,18.70545454545455,0.14944525518570545,600.0,7
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_022_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,21,6300,16.5,16.6,16.56666666666667,0.04714045207910385,600.0,1
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_023_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,855,263700,19.4,21.2,20.27801169590643,0.32006326107705,600.0,25
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_023_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,184,55200,18.9,21.0,20.017934782608698,0.5345193656626773,600.0,1
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_023_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,839,258900,18.0,22.7,19.49964243146603,0.9513242089694985,600.0,25
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_023_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,221,68700,16.4,21.0,19.042533936651587,1.0497579574408067,600.0,9
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_024_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,287,88800,20.2,21.0,20.708362369337976,0.2621269894229382,600.0,10
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_024_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,15,4800,19.4,19.5,19.426666666666666,0.04422166387140597,600.0,2
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_024_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,705,218400,17.2,21.1,18.69659574468085,0.9528842589977662,600.0,24
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_024_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,1517,476700,16.7,20.8,18.338562953197098,0.8594482705519624,600.0,73
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_025_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,584,182100,19.8,21.6,20.62859589041096,0.4080366636556338,600.0,24
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_025_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,53,15900,19.2,19.4,19.26415094339623,0.06755665581120074,600.0,1
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_025_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,263,81900,17.6,20.1,18.283269961977187,0.6963413017259223,600.0,11
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_025_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,685,210300,16.8,20.9,18.305401459854014,0.9263774629131958,600.0,17
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_026_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,57,17100,16.0,20.3,19.410526315789475,1.2857770141082916,600.0,1
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_026_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,469,147900,19.1,22.1,20.611940298507463,0.6138645703422262,600.0,25
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_026_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,635,197700,17.4,21.0,18.676850393700786,0.9637604341683408,600.0,25
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_026_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,33,10200,17.4,17.8,17.5,0.10444659357341926,600.0,2
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_027_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,189,57300,16.1,20.7,19.96507936507937,0.7922559170783318,600.0,3
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_027_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,23,7500,20.2,20.5,20.321739130434782,0.08317881073786487,600.0,3
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_027_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,252,79200,17.6,21.4,19.013888888888886,0.9277926289087963,600.0,13
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_027_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,44,13200,17.0,18.3,17.24772727272727,0.222065342926188,600.0,1
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_028_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,290,88800,19.4,21.1,20.35137931034483,0.4765698135196406,600.0,7
