timestamp,timestamp_seconds,run_id,node_id,operating_mode,measured_temperature,sensor_valid,predicted_state,risk_probability,applied_state,sampling_interval,transmission_interval,transmission_requested,transmission_reason,model_latency,fallback_status,battery_estimate
2026-01-01T01:11:00+00:00,4260.0,gradual_warming-20273476-438739b17b58,3,ml,7.6466,True,TRANSITION,0.3953548600301334,TRANSITION,30.0,120.0,True,interval due,0.7442499991157092,ok,99.4039999999998
2026-01-01T01:12:00+00:00,4320.0,gradual_warming-20273476-438739b17b58,3,ml,7.7519,True,TRANSITION,0.4148378133248444,TRANSITION,30.0,120.0,False,not due,0.755083001422463,ok,99.4009999999998
2026-01-01T01:13:00+00:00,4380.0,gradual_warming-20273476-438739b17b58,3,ml,7.7468,True,TRANSITION,0.4213191538030614,TRANSITION,30.0,120.0,True,interval due,0.7417500000883592,ok,99.38799999999979
2026-01-01T01:14:00+00:00,4440.0,gradual_warming-20273476-438739b17b58,3,ml,7.7654,True,TRANSITION,0.3792186283657342,TRANSITION,30.0,120.0,False,not due,0.7230840001284378,ok,99.38499999999979
2026-01-01T01:15:00+00:00,4500.0,gradual_warming-20273476-438739b17b58,3,ml,7.7101,True,TRANSITION,0.24561324964352133,TRANSITION,30.0,120.0,True,interval due,0.7517079993704101,ok,99.37199999999979
2026-01-01T01:16:00+00:00,4560.0,gradual_warming-20273476-438739b17b58,3,ml,7.7698,True,TRANSITION,0.21042703542524074,TRANSITION,30.0,120.0,False,not due,0.7384589989669621,ok,99.36899999999979
2026-01-01T01:17:00+00:00,4620.0,gradual_warming-20273476-438739b17b58,3,ml,7.8735,True,TRANSITION,0.28262585639764437,TRANSITION,30.0,120.0,True,interval due,0.736250000045402,ok,99.35599999999978
2026-01-01T01:18:00+00:00,4680.0,gradual_warming-20273476-438739b17b58,3,ml,7.9808,True,TRANSITION,0.3706118510330304,TRANSITION,30.0,120.0,False,not due,0.7777920000080485,ok,99.35299999999978
2026-01-01T01:19:00+00:00,4740.0,gradual_warming-20273476-438739b17b58,3,ml,7.8347,True,TRANSITION,0.33572180039534294,TRANSITION,30.0,120.0,True,interval due,0.7911659995443188,ok,99.33999999999978
2026-01-01T01:20:00+00:00,4800.0,gradual_warming-20273476-438739b17b58,3,ml,7.9217,True,TRANSITION,0.30366031594768816,TRANSITION,30.0,120.0,False,not due,0.7839999998395797,ok,99.33699999999978
2026-01-01T01:21:00+00:00,4860.0,gradual_warming-20273476-438739b17b58,3,ml,7.9142,True,TRANSITION,0.23238641029962273,TRANSITION,30.0,120.0,True,interval due,0.742958000046201,ok,99.32399999999977
2026-01-01T01:22:00+00:00,4920.0,gradual_warming-20273476-438739b17b58,3,ml,8.0412,True,TRANSITION,0.29752771011873147,EXCURSION_RISK,10.0,600.0,False,not due,0.7608749983774032,ok,99.32099999999977
